,,roc_auc,roc_auc,accuracy,accuracy,balanced_accuracy,balanced_accuracy
,,mean,std,mean,std,mean,std
stage,model,,,,,,
Stage 1 - Routine risk factors,Logistic Regression,0.6578938394938395,0.07637298248266848,0.619450354609929,0.053616908408733316,0.6162628038628039,0.05294059286589156
Stage 1 - Routine risk factors,Random Forest,0.6916490176490178,0.06142690538890359,0.6540070921985816,0.06479710641267163,0.6522432234432235,0.06443902832665219
Stage 2 - Symptoms and resting ECG,Logistic Regression,0.805604662004662,0.06687050306026052,0.745336879432624,0.05763918810823096,0.7452447552447552,0.05892124379152008
Stage 2 - Symptoms and resting ECG,Random Forest,0.8008097902097902,0.06585988697476186,0.733563829787234,0.058513705235187584,0.7324841824841825,0.05854917264352574
Stage 3 - Exercise stress test,Logistic Regression,0.8466338994338994,0.05144760138911097,0.7706028368794327,0.04478872208800274,0.7681106893106893,0.044271878716665485
Stage 3 - Exercise stress test,Random Forest,0.8510301698301699,0.05418101859997492,0.7461879432624113,0.05157693560347322,0.7424813852813853,0.053603021726140114
Stage 4 - Advanced diagnostic tests,Logistic Regression,0.8904435564435564,0.048482580467394586,0.8262765957446808,0.05946478830037376,0.8213986013986014,0.06051702852261375
Stage 4 - Advanced diagnostic tests,Random Forest,0.8890329670329671,0.052093282617626656,0.8177836879432624,0.06617351597033462,0.814430636030636,0.06821705566460413
